data_inizio, data_fine, tipologia, id_giocatore
2020-12-03,2021-03-03,trimestrale,594112
2020-04-24,2021-04-24,annuale,450680
2020-09-18,2021-09-18,annuale,528502
2018-04-13,2019-04-13,annuale,567162
2020-10-01,2021-10-01,annuale,511516
2021-01-08,2021-02-07,mensile,546302
2021-10-20,2022-01-18,trimestrale,496382
2022-12-14,2023-03-14,trimestrale,438223
2021-12-05,2022-03-05,trimestrale,422303
2021-03-19,2021-06-17,trimestrale,585009
2019-04-24,2020-04-23,annuale,415994
2019-01-18,2020-01-18,annuale,410996
2021-07-15,2021-08-14,mensile,514017
2022-12-25,2023-01-24,mensile,513775
2020-04-09,2020-05-09,mensile,433202
2019-07-26,2020-07-25,annuale,596509
2021-06-16,2021-09-14,trimestrale,410682
2018-07-26,2018-08-25,mensile,404783
2019-05-16,2019-08-14,trimestrale,500063
2020-12-23,2021-03-23,trimestrale,415072
2018-12-22,2019-01-21,mensile,410862
2022-02-04,2022-03-06,mensile,428555
2020-03-26,2020-06-24,trimestrale,506612
2020-10-07,2021-10-07,annuale,538916
2018-10-01,2018-12-30,trimestrale,491340
2019-09-16,2019-10-16,mensile,548545
2022-11-04,2022-12-04,mensile,462539
2018-11-27,2019-11-27,annuale,490188
2018-11-22,2019-02-20,trimestrale,523618
2021-05-11,2022-05-11,annuale,410901
2022-10-19,2023-10-19,annuale,422159
2021-08-19,2021-09-18,mensile,518153
2019-09-30,2020-09-29,annuale,503008
2022-11-20,2022-12-20,mensile,509067
2018-02-07,2018-05-08,trimestrale,587187
2019-08-15,2019-11-13,trimestrale,596010
2022-08-25,2022-11-23,trimestrale,534250
2021-12-19,2022-01-18,mensile,431212
2021-12-06,2022-01-05,mensile,544442
2020-01-08,2020-02-07,mensile,512962
2019-03-23,2019-06-21,trimestrale,554719
2019-10-04,2020-01-02,trimestrale,486386
2022-12-03,2023-03-03,trimestrale,489088
2022-10-09,2022-11-08,mensile,408567
2019-06-08,2019-07-08,mensile,483457
2021-06-24,2021-09-22,trimestrale,563231
2018-04-27,2018-05-27,mensile,455763
2021-03-27,2021-04-26,mensile,581984
2020-02-04,2020-03-05,mensile,450778
2019-08-16,2019-11-14,trimestrale,463276
2019-12-28,2020-01-27,mensile,594252
2022-03-07,2022-06-05,trimestrale,594046
2020-05-10,2020-08-08,trimestrale,470231
2019-04-14,2019-05-14,mensile,539003
2020-01-21,2020-02-20,mensile,497691
2020-08-17,2020-09-16,mensile,470117
2019-06-17,2019-07-17,mensile,564591
2022-10-17,2023-01-15,trimestrale,408248
2021-02-27,2021-03-29,mensile,523573
2022-05-16,2022-08-14,trimestrale,458219
2020-07-31,2020-10-29,trimestrale,534250
2020-05-06,2021-05-06,annuale,553233
2020-05-09,2020-06-08,mensile,444490
2019-06-19,2019-07-19,mensile,448933
2018-11-18,2019-11-18,annuale,552597
2021-03-16,2021-06-14,trimestrale,434558
2022-02-24,2022-05-25,trimestrale,534918
2021-01-01,2022-01-01,annuale,568534
2018-05-19,2018-06-18,mensile,544955
2021-12-19,2022-01-18,mensile,442704
2018-02-10,2018-03-12,mensile,508012
2022-03-01,2022-05-30,trimestrale,589359
2021-10-01,2022-10-01,annuale,530271
2022-04-12,2022-07-11,trimestrale,566665
2022-06-30,2022-09-28,trimestrale,558473
2018-03-08,2018-04-07,mensile,500766
2022-04-03,2023-04-03,annuale,520082
2021-06-02,2022-06-02,annuale,588355
2019-10-28,2020-01-26,trimestrale,565287
2018-08-17,2018-09-16,mensile,514558
2022-03-19,2022-06-17,trimestrale,572867
2019-12-29,2020-12-28,annuale,424793
2018-07-09,2018-08-08,mensile,449918
2021-04-26,2021-07-25,trimestrale,576368
2018-11-17,2019-11-17,annuale,579914
2020-07-07,2020-08-06,mensile,467927
2018-06-05,2018-07-05,mensile,420043
2022-11-09,2023-02-07,trimestrale,548921
2020-11-10,2021-02-08,trimestrale,506267
2019-06-07,2020-06-06,annuale,508844
2018-08-14,2018-11-12,trimestrale,506301
2019-04-01,2019-05-01,mensile,424017
2022-04-20,2023-04-20,annuale,502528
2019-07-10,2019-10-08,trimestrale,479130
2020-08-14,2020-09-13,mensile,402186
2021-02-02,2022-02-02,annuale,458182
2018-03-09,2019-03-09,annuale,438361
2021-09-30,2022-09-30,annuale,555497
2022-06-08,2022-09-06,trimestrale,598386
2018-08-12,2018-09-11,mensile,564022
2023-01-26,2023-02-25,mensile,535656
2020-10-08,2020-11-07,mensile,588917
2018-06-19,2019-06-19,annuale,478128
2021-10-03,2021-11-02,mensile,418312
2022-10-26,2023-01-24,trimestrale,523350
2022-06-27,2022-09-25,trimestrale,485772
2020-11-02,2021-11-02,annuale,600582
2019-03-18,2020-03-17,annuale,462730
2021-04-29,2021-05-29,mensile,528733
2021-05-27,2021-06-26,mensile,544760
2022-09-14,2022-10-14,mensile,445882
2018-05-13,2018-06-12,mensile,541724
2019-01-29,2019-02-28,mensile,480217
2021-10-27,2022-01-25,trimestrale,479471
2020-10-29,2021-10-29,annuale,404046
2022-03-17,2023-03-17,annuale,468736
2019-09-06,2020-09-05,annuale,492370
2022-03-09,2022-06-07,trimestrale,574744
2018-10-13,2018-11-12,mensile,548721
2020-06-27,2020-09-25,trimestrale,449930
2021-08-12,2022-08-12,annuale,590328
2019-09-14,2020-09-13,annuale,471626
2021-03-01,2021-05-30,trimestrale,577292
2019-11-05,2020-11-04,annuale,429142
2021-12-22,2022-12-22,annuale,477123
2021-07-12,2021-08-11,mensile,576951
2019-04-22,2019-07-21,trimestrale,403146
2020-03-16,2020-06-14,trimestrale,462987
2018-10-15,2018-11-14,mensile,595904
2021-06-29,2021-09-27,trimestrale,473385
2022-03-21,2022-04-20,mensile,498564
2019-02-03,2020-02-03,annuale,587371
2019-05-01,2020-04-30,annuale,536149
2021-11-09,2021-12-09,mensile,433014
2018-12-10,2019-03-10,trimestrale,408499
2020-10-05,2021-10-05,annuale,463115
2019-03-28,2020-03-27,annuale,433433
2023-01-09,2023-02-08,mensile,427310
2022-02-19,2022-05-20,trimestrale,590825
2021-02-13,2021-05-14,trimestrale,559832
2018-08-20,2018-11-18,trimestrale,486461
2022-03-23,2022-04-22,mensile,507832
2022-03-24,2023-03-24,annuale,505882
2020-12-07,2021-12-07,annuale,529241
2021-09-29,2021-12-28,trimestrale,581623
2020-12-04,2021-12-04,annuale,593935
2019-01-31,2019-03-02,mensile,596800
2019-01-05,2019-04-05,trimestrale,531920
2019-08-20,2019-11-18,trimestrale,470893
2022-10-22,2023-01-20,trimestrale,563553
2022-06-09,2022-09-07,trimestrale,470276
2022-07-23,2022-08-22,mensile,484576
2018-11-25,2018-12-25,mensile,534415
2020-04-11,2020-05-11,mensile,401309
2021-03-17,2021-04-16,mensile,458823
2021-09-28,2021-12-27,trimestrale,514242
2018-10-21,2019-01-19,trimestrale,473599
2018-11-24,2019-02-22,trimestrale,438324
2020-02-28,2020-03-29,mensile,540043
2021-03-13,2022-03-13,annuale,478667
2020-10-17,2021-01-15,trimestrale,454197
2022-01-11,2023-01-11,annuale,496178
2022-05-06,2023-05-06,annuale,523395
2018-12-15,2019-03-15,trimestrale,404481
2021-03-21,2021-06-19,trimestrale,547343
2019-11-02,2019-12-02,mensile,564584
2019-09-15,2019-10-15,mensile,576388
2019-02-04,2019-05-05,trimestrale,444400
2021-07-12,2021-08-11,mensile,534169
2020-10-29,2020-11-28,mensile,599684
2020-05-30,2020-08-28,trimestrale,464833
2020-03-09,2020-06-07,trimestrale,535975
2021-12-05,2022-03-05,trimestrale,497883
2018-05-16,2018-06-15,mensile,587254
2018-05-01,2018-05-31,mensile,536605
2022-12-18,2023-03-18,trimestrale,458747
2021-12-28,2022-12-28,annuale,549823
2022-08-30,2023-08-30,annuale,569619
2018-12-22,2019-03-22,trimestrale,484716
2019-12-30,2020-03-29,trimestrale,579177
2023-01-01,2023-01-31,mensile,542819
2019-12-28,2020-12-27,annuale,563722
2020-07-26,2021-07-26,annuale,417677
2020-06-12,2021-06-12,annuale,470975
2020-06-10,2021-06-10,annuale,498655
2021-01-20,2021-04-20,trimestrale,480624
2021-12-15,2022-03-15,trimestrale,478599
2020-04-14,2020-07-13,trimestrale,453113
2019-12-17,2020-12-16,annuale,440773
2021-06-05,2021-09-03,trimestrale,574706
2020-06-26,2020-09-24,trimestrale,468734
2020-03-10,2020-04-09,mensile,444325
2021-06-23,2022-06-23,annuale,457197
2020-09-04,2020-12-03,trimestrale,538918
2020-05-11,2021-05-11,annuale,551083
2018-10-23,2019-10-23,annuale,584772
2022-09-14,2023-09-14,annuale,561042
2021-11-12,2021-12-12,mensile,495225
2022-09-03,2022-12-02,trimestrale,464616
2018-06-19,2018-07-19,mensile,547275
2020-09-04,2020-12-03,trimestrale,410672
2019-05-29,2019-08-27,trimestrale,596048
2022-11-15,2022-12-15,mensile,426851
2019-05-06,2019-08-04,trimestrale,536349
2019-10-09,2020-01-07,trimestrale,413421
2022-12-19,2023-03-19,trimestrale,577093
2019-11-09,2020-02-07,trimestrale,469587
2021-09-22,2021-10-22,mensile,600698
2022-12-06,2023-03-06,trimestrale,425576
2022-07-02,2022-09-30,trimestrale,403117
2022-11-30,2023-11-30,annuale,426463
2019-06-06,2019-07-06,mensile,498210
2018-04-05,2018-05-05,mensile,539836
2020-01-05,2020-04-04,trimestrale,497112
2021-05-08,2021-06-07,mensile,449119
2020-08-17,2020-09-16,mensile,569409
2020-09-02,2020-12-01,trimestrale,456327
2020-08-22,2020-11-20,trimestrale,412123
2019-05-07,2020-05-06,annuale,494076
2022-04-11,2022-07-10,trimestrale,540117
2019-10-17,2020-01-15,trimestrale,453342
2019-04-22,2019-07-21,trimestrale,494465
2022-01-16,2023-01-16,annuale,519591
2019-07-17,2020-07-16,annuale,487975
2022-10-17,2022-11-16,mensile,504263
2022-10-25,2023-10-25,annuale,508073
2019-09-27,2020-09-26,annuale,421967
2021-08-26,2022-08-26,annuale,433977
2021-07-26,2021-08-25,mensile,472873
2018-07-11,2018-08-10,mensile,495455
2021-07-01,2021-07-31,mensile,562980
2019-08-26,2019-11-24,trimestrale,559169
2021-07-25,2021-10-23,trimestrale,551760
2019-01-14,2019-04-14,trimestrale,506060
2020-08-25,2020-11-23,trimestrale,413793
2020-02-25,2020-03-26,mensile,417393
2019-10-13,2020-01-11,trimestrale,543814
2020-10-22,2021-01-20,trimestrale,592581
2020-07-04,2021-07-04,annuale,490701
2018-09-02,2018-12-01,trimestrale,473581
2020-10-17,2020-11-16,mensile,408916
2019-10-04,2020-01-02,trimestrale,519915
2022-11-06,2022-12-06,mensile,510957
2018-11-17,2019-11-17,annuale,477687
2020-09-03,2020-10-03,mensile,598492
2018-05-19,2018-06-18,mensile,544595
2022-05-13,2023-05-13,annuale,524730
2019-08-14,2019-09-13,mensile,544727
2018-09-23,2018-12-22,trimestrale,522217
2020-06-13,2020-09-11,trimestrale,474517
2021-06-18,2021-09-16,trimestrale,430326
2018-03-14,2018-04-13,mensile,474009
2021-02-02,2022-02-02,annuale,582378
2021-06-10,2022-06-10,annuale,528633
2021-07-02,2022-07-02,annuale,533349
2021-07-07,2022-07-07,annuale,431642
2021-02-28,2022-02-28,annuale,487130
2021-03-27,2021-06-25,trimestrale,549364
2020-05-30,2020-06-29,mensile,445687
2018-09-24,2018-10-24,mensile,408140
2022-11-08,2023-02-06,trimestrale,599397
2021-04-29,2021-07-28,trimestrale,442216
2021-02-17,2021-05-18,trimestrale,541035
2019-02-01,2019-05-02,trimestrale,533785
2019-07-25,2020-07-24,annuale,528733
2021-08-15,2022-08-15,annuale,580802
2019-10-03,2019-11-02,mensile,453502
2020-05-25,2020-06-24,mensile,463253
2019-02-16,2020-02-16,annuale,540347
2018-02-25,2019-02-25,annuale,519989
2019-04-11,2019-05-11,mensile,561354
2021-02-19,2021-05-20,trimestrale,406574
2020-03-08,2021-03-08,annuale,437944
2023-01-12,2023-04-12,trimestrale,526526
2019-09-04,2019-10-04,mensile,422800
2018-06-23,2018-07-23,mensile,588307
2021-10-26,2022-01-24,trimestrale,502708
2020-09-26,2021-09-26,annuale,537506
2021-09-24,2021-10-24,mensile,464339
2018-12-11,2019-03-11,trimestrale,421154
2020-03-07,2020-06-05,trimestrale,571926
2018-08-10,2019-08-10,annuale,566562
2019-07-29,2020-07-28,annuale,562740
2018-04-20,2018-07-19,trimestrale,537270
2022-01-28,2022-04-28,trimestrale,447796
2018-12-10,2019-01-09,mensile,579485
2022-10-26,2022-11-25,mensile,521543
2021-08-26,2021-09-25,mensile,570830
2022-05-27,2023-05-27,annuale,514599
2021-05-04,2021-08-02,trimestrale,446619
2022-03-28,2022-04-27,mensile,489074
2019-08-14,2019-09-13,mensile,445043
2018-08-18,2019-08-18,annuale,541984
2021-08-30,2021-11-28,trimestrale,450949
2020-09-06,2021-09-06,annuale,587074
2021-10-06,2021-11-05,mensile,466475
2019-06-26,2019-07-26,mensile,478435
2022-01-28,2022-04-28,trimestrale,453413
2019-08-22,2019-11-20,trimestrale,486658
2021-11-20,2022-11-20,annuale,438928
2021-08-10,2022-08-10,annuale,507791
2019-08-27,2020-08-26,annuale,478852
2018-11-14,2019-11-14,annuale,545614
2018-03-09,2018-04-08,mensile,430730
2019-11-06,2020-11-05,annuale,561787
2022-06-28,2022-09-26,trimestrale,540251
2019-03-02,2019-05-31,trimestrale,500018
2018-11-22,2019-11-22,annuale,513529
2019-12-08,2020-12-07,annuale,496164
2020-01-07,2021-01-06,annuale,431458
2018-04-03,2018-07-02,trimestrale,476105
2018-05-11,2019-05-11,annuale,517474
2020-03-29,2021-03-29,annuale,591731
2020-04-20,2021-04-20,annuale,429445
2023-01-10,2024-01-10,annuale,437039
2018-10-05,2019-01-03,trimestrale,401798
2018-12-22,2019-01-21,mensile,581729
2022-06-06,2023-06-06,annuale,571306
2018-04-04,2018-07-03,trimestrale,502306
2019-12-22,2020-12-21,annuale,521417
2022-12-22,2023-03-22,trimestrale,499386
2022-06-11,2023-06-11,annuale,502903
2022-02-27,2022-05-28,trimestrale,570558
2021-12-20,2022-12-20,annuale,457059
2020-12-07,2021-01-06,mensile,460788
2020-08-01,2020-10-30,trimestrale,491674
2020-10-01,2021-10-01,annuale,589116
2020-09-21,2020-12-20,trimestrale,440023
2018-10-03,2019-10-03,annuale,592134
2021-11-21,2022-11-21,annuale,530870
2021-03-19,2021-06-17,trimestrale,466194
2021-09-29,2021-12-28,trimestrale,568119
2020-08-05,2021-08-05,annuale,501192
2021-09-09,2022-09-09,annuale,483492
2019-02-24,2020-02-24,annuale,538084
2019-06-06,2019-07-06,mensile,580141
2021-01-01,2021-01-31,mensile,453222
2019-09-04,2019-10-04,mensile,447650
2018-06-07,2018-09-05,trimestrale,416744
2019-01-17,2019-02-16,mensile,475659
2022-12-07,2023-01-06,mensile,550669
2018-03-03,2019-03-03,annuale,532269
2021-04-17,2021-07-16,trimestrale,581221
2020-06-10,2020-09-08,trimestrale,442640
2020-08-01,2020-08-31,mensile,577501
2018-03-12,2018-06-10,trimestrale,595887
2022-05-08,2022-06-07,mensile,516859
2018-11-12,2019-02-10,trimestrale,533453
2018-09-24,2018-10-24,mensile,595280
2018-10-09,2019-10-09,annuale,542556
2021-06-29,2022-06-29,annuale,453194
