ora_inizio,data,id_giocatore,punteggio,ora_fine,id_pista
17:33,2020-11-10,558999,146,20:55,2
14:54,2022-08-01,483558,137,16:46,6
17:16,2020-02-10,495796,144,21:15,5
10:47,2023-01-19,463020,201,20:42,11
21:34,2021-02-03,560110,10,21:50,5
15:13,2022-12-03,534558,9,21:53,14
18:57,2021-11-06,592042,285,19:32,1
18:00,2020-12-17,571221,210,18:59,9
10:21,2020-01-27,428972,297,18:39,6
14:34,2020-05-01,411888,91,18:05,13
15:58,2020-06-10,522871,79,19:37,3
10:27,2021-01-19,566550,68,20:26,3
21:11,2021-01-22,511587,133,21:49,11
15:24,2021-03-31,435333,260,16:16,3
13:06,2020-02-26,520149,110,16:23,7
11:36,2021-07-28,484086,240,12:53,7
09:27,2022-06-13,555468,268,18:46,2
11:39,2020-02-08,489039,175,18:52,2
17:12,2021-06-01,543862,203,17:12,13
12:34,2021-08-24,574704,99,14:15,10
19:11,2020-04-15,423379,199,20:44,10
14:42,2022-09-09,409690,251,18:54,1
15:53,2021-07-29,468338,234,19:32,14
09:52,2020-07-17,505714,178,21:48,1
18:16,2022-12-26,498427,33,20:32,1
12:09,2020-06-13,526596,297,13:36,9
13:43,2021-11-24,403968,239,14:22,7
18:30,2022-09-13,437732,163,20:46,11
21:59,2020-09-23,530759,57,21:59,14
10:31,2022-09-11,414085,175,20:27,15
19:59,2020-11-06,544795,32,21:52,2
11:11,2021-03-24,430450,283,16:19,13
19:08,2021-11-06,483935,267,21:13,2
11:09,2021-03-17,581157,244,20:59,9
10:43,2021-11-21,551096,193,18:51,12
14:03,2021-08-02,403228,289,21:21,1
13:10,2021-03-15,592784,156,21:35,6
10:22,2021-04-12,538387,165,21:28,3
11:35,2021-02-11,532271,68,15:31,13
20:58,2022-09-10,479543,172,21:17,8
10:24,2021-04-07,575894,169,16:13,12
19:17,2021-08-16,407866,218,21:00,8
19:50,2023-01-23,490177,120,20:25,5
11:53,2020-05-15,579802,218,17:25,8
15:35,2022-06-01,431879,178,17:24,12
15:14,2022-04-09,418075,188,15:25,7
16:42,2020-05-21,428330,142,19:49,15
18:19,2022-04-08,406782,53,20:30,3
21:35,2020-09-29,442246,259,21:53,6
10:31,2022-06-22,544153,112,12:43,9
18:34,2021-08-30,479813,263,19:59,13
17:05,2022-05-04,521875,124,21:26,11
09:30,2022-09-25,442370,233,10:57,10
09:20,2020-08-30,563784,222,14:10,15
19:19,2020-11-18,597545,195,20:41,9
21:29,2021-12-07,599943,140,21:55,15
17:37,2022-07-17,574687,142,21:19,13
12:31,2020-07-23,420547,174,20:02,13
17:08,2021-09-23,571706,208,17:21,8
11:17,2021-11-15,446392,183,12:32,14
15:28,2020-07-15,428529,88,21:01,12
19:33,2022-09-27,445038,226,20:37,6
20:52,2020-03-22,542414,281,21:03,15
10:23,2020-01-28,477637,159,15:13,10
19:46,2020-10-29,451087,200,20:19,7
14:43,2020-08-24,540022,160,20:13,3
11:04,2021-01-12,539705,162,16:19,5
13:29,2021-07-29,465383,203,21:15,6
10:00,2022-02-14,553271,178,12:25,1
09:03,2021-09-22,515765,60,11:27,11
10:58,2021-01-17,416513,84,13:00,10
15:06,2020-08-01,443004,109,18:10,8
16:24,2021-07-20,519152,101,17:41,4
13:51,2020-05-25,482298,289,17:48,5
15:00,2020-08-06,431971,4,16:35,13
13:43,2022-01-16,509316,209,18:51,4
09:24,2022-12-21,595602,288,16:28,13
14:25,2021-10-19,509525,293,21:44,8
11:51,2022-08-14,405257,196,16:34,1
10:28,2021-04-30,526865,94,16:58,15
19:17,2020-08-28,450476,215,20:35,9
09:47,2021-07-23,580563,58,10:35,9
21:44,2022-10-07,584068,157,21:53,1
10:16,2021-08-23,467365,294,14:43,10
18:18,2021-09-14,588705,113,18:55,14
17:36,2021-10-24,483111,67,17:46,4
09:30,2021-10-29,482822,282,21:32,5
12:30,2021-11-22,497995,105,21:27,12
09:20,2022-11-25,449191,248,11:14,6
14:16,2020-03-16,433364,166,17:31,2
15:59,2022-05-25,536280,110,18:43,2
13:26,2021-11-07,435473,226,16:13,4
17:30,2020-09-29,476180,38,18:57,8
09:08,2021-10-26,556123,20,09:36,5
17:49,2022-08-29,553674,189,19:55,1
14:35,2022-01-27,457417,208,18:10,11
15:06,2022-06-11,481843,229,20:15,14
11:34,2021-07-26,525863,126,15:38,8
18:35,2022-02-05,515422,264,20:50,10
13:25,2022-07-20,580486,5,15:08,4
15:47,2020-01-13,483300,143,17:40,14
09:00,2022-02-22,461217,9,20:02,6
17:33,2022-03-01,580053,99,17:44,12
18:52,2021-12-04,440249,211,19:28,5
16:29,2021-11-28,530141,132,19:00,7
13:32,2021-03-15,463264,106,16:48,3
18:40,2020-02-08,421909,150,20:59,5
13:11,2021-11-26,425224,38,18:17,8
09:15,2022-08-06,576826,251,15:58,10
20:15,2022-09-22,455744,277,21:14,15
10:27,2020-09-20,435175,171,12:08,4
15:29,2021-06-18,494011,102,19:56,10
13:29,2020-05-30,498422,147,18:43,3
09:43,2022-09-28,590613,102,16:08,10
10:47,2022-05-09,405871,296,15:52,4
21:56,2022-01-11,407505,236,21:59,2
18:52,2022-11-04,534315,216,19:35,4
21:03,2022-03-06,516614,24,21:48,1
09:23,2021-08-04,553487,231,17:31,14
17:52,2020-12-29,532626,165,19:08,15
10:30,2021-07-15,599447,176,16:52,5
20:18,2020-05-02,555907,108,21:13,5
10:31,2022-10-11,433334,190,13:54,11
19:06,2022-08-04,542459,183,19:54,3
11:16,2021-09-22,569775,50,21:48,10
16:36,2020-11-09,577517,230,17:22,6
16:57,2020-07-07,559203,164,17:06,1
13:31,2021-11-06,553031,204,18:23,1
19:57,2021-08-09,521146,107,21:19,15
21:05,2021-03-06,425934,182,21:08,12
19:45,2021-06-05,467832,140,21:18,9
21:58,2021-11-10,474727,15,21:59,9
17:26,2020-03-14,512435,52,21:13,12
15:24,2023-01-10,557797,26,21:29,4
19:55,2021-12-15,477903,21,20:28,9
15:06,2020-10-27,427624,33,15:51,5
12:09,2020-08-27,488287,230,21:29,3
20:11,2021-11-23,569231,225,21:07,8
18:01,2022-09-06,466351,64,18:32,5
19:36,2021-02-22,483350,250,20:14,14
20:35,2021-01-25,589205,76,21:25,7
15:58,2020-11-14,566031,98,19:17,7
18:07,2021-02-03,438068,146,19:11,9
21:04,2022-05-10,553117,40,21:58,14
09:43,2020-02-03,594068,132,20:01,5
14:43,2021-05-30,483464,130,20:01,8
20:42,2022-09-22,566537,44,21:04,10
15:21,2022-04-27,471368,19,17:18,7
20:02,2020-10-07,488415,200,21:28,1
15:58,2022-01-16,548599,48,20:24,12
20:35,2022-03-09,427725,136,21:37,9
10:34,2022-03-02,496885,182,17:28,8
18:16,2020-05-02,551647,21,21:39,11
13:33,2021-08-28,595003,213,17:02,6
17:24,2022-08-30,430615,166,19:07,6
18:26,2021-05-24,460030,119,21:46,15
13:29,2020-07-26,554529,220,20:14,11
18:18,2022-09-01,534460,216,20:56,10
18:24,2020-01-21,507100,79,21:13,8
21:25,2020-10-13,427775,188,21:41,15
15:46,2021-02-24,560858,179,20:12,1
16:57,2021-07-18,546233,119,19:04,4
16:36,2020-05-01,533361,225,20:49,2
20:04,2022-06-13,494171,31,21:19,15
14:25,2021-08-25,545130,235,17:44,11
17:27,2020-06-25,505950,213,17:32,12
18:07,2021-07-22,481642,97,21:24,7
16:44,2021-10-10,525827,93,16:46,5
21:16,2022-03-16,493596,289,21:58,14
18:23,2021-12-20,430251,228,19:03,1
21:28,2021-04-23,484657,248,21:31,13
16:21,2021-01-06,556636,291,21:02,12
12:42,2023-02-02,493446,98,20:19,12
15:40,2022-06-27,568717,171,15:42,9
14:03,2022-04-28,547179,256,20:28,12
09:56,2022-08-29,523013,278,16:27,7
18:31,2022-05-06,520124,1,20:29,1
16:19,2020-08-17,412651,200,18:08,2
20:50,2020-09-22,591187,150,21:23,3
18:36,2022-11-28,550839,133,18:38,8
11:13,2021-02-22,461784,90,14:00,7
19:23,2020-06-18,456424,188,21:00,8
12:56,2021-05-14,457574,29,19:11,14
21:07,2021-09-22,549417,292,21:24,5
10:35,2022-08-21,466849,279,14:45,9
20:42,2021-07-17,587443,284,21:56,3
13:34,2020-03-26,470834,180,17:21,11
18:59,2021-05-25,424995,284,19:15,9
14:12,2022-09-12,503147,84,14:17,9
13:58,2020-12-26,533626,46,21:59,13
09:13,2022-07-05,463723,8,16:41,8
09:14,2022-04-11,423508,13,10:31,12
15:02,2020-02-01,539979,104,19:19,12
18:41,2021-12-14,525973,101,21:09,4
19:07,2020-01-22,579056,118,19:40,6
15:23,2021-04-27,559988,282,17:11,9
13:36,2020-11-07,480282,62,19:11,12
14:36,2020-03-13,591477,264,15:31,8
12:08,2021-03-29,514816,82,18:51,6
21:33,2022-01-24,535021,152,21:45,10
10:59,2022-04-29,407584,228,21:51,10
09:09,2023-01-09,425303,175,17:46,10
21:42,2021-08-24,471589,255,21:46,6
13:49,2022-04-19,577904,89,20:11,8
20:50,2020-05-24,443297,132,21:18,12
14:34,2021-07-17,593111,289,19:57,12
12:06,2021-05-15,523512,269,19:37,13
09:25,2022-03-29,421528,256,16:06,5
16:41,2022-07-09,509710,26,21:05,9
11:44,2020-08-10,432223,287,19:50,13
15:06,2021-11-02,566730,82,16:25,10
12:37,2020-12-16,462118,16,15:18,13
11:10,2021-06-07,585423,148,21:22,1
15:52,2021-03-27,410627,29,20:44,10
12:37,2022-02-13,549713,216,20:16,14
18:46,2023-01-14,407096,144,21:25,11
16:34,2022-05-12,537840,299,16:52,4
09:53,2020-02-20,422036,133,14:35,15
18:52,2020-09-28,599149,106,21:00,13
21:55,2021-08-26,509359,30,21:57,5
13:06,2020-09-09,526812,200,13:16,5
19:55,2022-02-27,462305,248,21:01,9
13:40,2020-03-04,446770,186,17:13,7
18:09,2022-05-11,461252,110,18:15,9
14:00,2021-12-20,577311,24,15:42,1
10:06,2022-10-12,477706,234,14:06,3
21:15,2021-11-20,419083,140,21:39,1
13:10,2022-11-12,516355,93,18:50,12
10:33,2021-01-08,461374,83,15:25,15
11:07,2022-07-26,531734,249,19:16,9
15:11,2021-01-19,441028,4,15:26,4
12:37,2021-04-30,440679,13,20:57,9
16:22,2022-11-28,509833,88,19:54,6
11:38,2021-03-03,424622,117,12:52,7
20:52,2020-01-07,509513,95,21:57,12
20:25,2020-04-20,515253,271,21:55,8
12:19,2022-01-29,518330,92,17:41,4
09:16,2020-12-11,550139,50,21:42,15
21:32,2020-07-03,529335,299,21:52,7
13:18,2020-04-28,423096,3,17:54,8
10:44,2020-01-19,504399,199,11:24,4
20:55,2022-06-05,488294,158,21:54,4
16:05,2022-03-18,537660,221,17:17,14
17:43,2020-07-20,488443,100,17:52,1
14:54,2021-04-05,464038,245,19:31,8
12:19,2021-03-01,480563,274,12:31,10
17:37,2021-01-12,492280,44,20:36,9
12:23,2020-03-27,580763,27,21:13,1
16:46,2021-01-17,559520,12,19:05,11
11:25,2022-01-19,552381,4,15:53,8
16:27,2020-12-28,536548,85,17:52,7
16:17,2020-07-31,599887,52,17:54,4
17:51,2021-02-16,453680,205,20:06,12
12:05,2021-01-07,569997,223,20:59,1
18:16,2021-01-08,517667,173,19:23,9
16:50,2022-08-17,598339,201,17:27,5
16:49,2021-12-27,406474,6,19:18,5
14:38,2020-11-19,437211,91,21:41,11
11:14,2021-02-26,536305,165,20:36,5
10:02,2022-01-13,594638,103,18:15,2
11:34,2022-09-06,578818,12,13:58,9
16:06,2022-04-27,555129,163,16:48,11
18:01,2021-08-02,473848,165,21:54,9
15:36,2021-11-24,550826,64,16:25,8
10:13,2022-02-01,570138,23,14:45,1
10:03,2022-09-12,451987,300,10:39,13
21:23,2021-04-29,558650,131,21:41,5
21:42,2022-02-23,422277,244,21:46,7
18:39,2020-10-23,546141,38,20:26,14
10:56,2021-09-28,423156,182,12:58,2
21:06,2020-01-23,594434,198,21:44,4
21:11,2020-11-20,425652,164,21:17,2
11:51,2022-03-04,420082,191,15:30,13
17:24,2022-07-05,454701,200,19:55,14
18:39,2020-03-12,523367,279,21:41,12
11:12,2021-01-19,406656,145,18:56,12
16:47,2021-06-23,516558,87,18:53,3
11:10,2021-05-29,525899,49,13:57,11
17:26,2022-07-19,503257,2,21:15,5
18:53,2020-02-06,439094,2,20:41,14
18:55,2021-06-25,536923,32,19:10,13
14:36,2020-02-05,534621,171,21:44,7
21:49,2022-07-21,476145,256,21:58,15
13:40,2021-04-25,461457,266,20:02,15
16:24,2022-10-25,458763,14,16:52,7
16:18,2020-04-22,408379,233,21:23,3
14:32,2020-03-31,568653,65,20:18,7
21:24,2020-10-02,566890,81,21:37,8
14:01,2021-07-13,454669,47,18:04,8
16:02,2020-10-07,566965,273,18:38,11
09:03,2021-03-24,549746,198,16:04,10
17:16,2021-10-11,438887,58,20:25,10
12:30,2022-08-06,569732,55,18:35,8
15:43,2022-01-05,515192,19,20:13,1
21:56,2021-10-22,590334,253,21:56,1
18:41,2021-11-16,450244,298,20:32,8
16:18,2021-11-03,488887,123,20:49,9
21:00,2022-03-16,543008,8,21:51,9
09:03,2021-02-08,534813,59,10:19,8
19:20,2021-05-17,440954,208,19:58,13
11:02,2021-03-21,424495,45,11:34,7
20:37,2022-02-16,591786,211,21:55,7
15:48,2020-09-25,447575,192,16:09,8
10:01,2021-11-29,543879,258,13:37,6
20:05,2020-04-21,460641,81,20:21,4
11:08,2022-09-30,552124,249,15:49,6
20:52,2020-05-11,461712,258,21:28,15
14:52,2022-08-09,470839,40,21:35,11
21:25,2020-12-30,546796,237,21:45,11
16:20,2020-08-01,423428,268,20:40,8
18:04,2022-12-01,423415,94,21:03,10
13:10,2020-06-03,493738,110,15:15,2
21:31,2020-04-24,464499,88,21:55,15
16:20,2020-01-07,500781,277,19:50,9
11:18,2020-01-20,475443,292,15:46,7
20:26,2020-01-02,559452,220,21:17,4
21:44,2022-03-16,460349,290,21:58,15
19:43,2022-08-25,409846,213,21:14,8
21:15,2020-07-22,511536,62,21:42,1
21:06,2020-05-20,549239,175,21:15,3
14:36,2021-02-13,594558,11,18:55,7
09:26,2020-08-08,545176,189,13:49,5
19:18,2020-08-11,490861,125,21:40,1
14:49,2022-01-20,584362,15,17:40,3
13:55,2020-12-02,424590,42,14:09,10
14:25,2022-07-30,405218,153,19:57,5
14:56,2022-11-10,578758,119,20:21,7
21:55,2020-01-19,465722,212,21:56,15
16:28,2021-10-10,510783,77,19:41,1
10:12,2020-12-02,541858,51,11:26,6
15:14,2020-06-13,439600,76,21:05,8
19:43,2021-09-01,600421,15,20:15,8
11:31,2021-05-03,515048,290,19:13,15
16:49,2022-02-22,586691,284,17:03,3
14:17,2020-08-27,542963,82,15:48,4
16:37,2022-10-22,525634,12,17:19,13
20:00,2021-08-26,551974,219,20:03,3
15:58,2020-04-13,508582,265,18:57,4
11:49,2021-02-25,595634,147,21:55,11
12:10,2022-07-29,547654,63,13:20,15
14:38,2022-03-12,558038,184,21:05,14
11:23,2022-05-01,470884,75,17:08,8
12:11,2020-03-20,467294,220,21:07,6
21:29,2020-12-16,493154,120,21:59,13
19:08,2022-06-30,489325,129,19:54,13
18:45,2021-06-07,404420,79,21:40,5
17:23,2022-10-10,595043,185,18:14,7
15:17,2022-10-23,415207,44,19:14,9
14:45,2022-04-20,468530,191,15:08,7
16:32,2022-07-17,464542,88,21:12,12
13:55,2022-05-17,492074,214,16:14,4
20:41,2021-06-18,483624,213,21:08,11
21:07,2021-09-30,595987,189,21:07,1
18:46,2021-01-11,401461,17,21:36,1
16:33,2022-08-11,456214,102,19:55,3
10:56,2020-11-18,475434,276,13:53,14
14:25,2023-01-10,403068,205,15:38,15
09:08,2020-12-12,503422,162,16:39,6
17:09,2021-04-06,536297,172,19:23,11
13:54,2021-09-12,445859,139,14:46,3
18:19,2022-08-24,569279,204,20:00,5
19:11,2020-02-16,527087,105,20:49,8
14:16,2021-05-26,596701,163,21:30,11
20:51,2021-06-10,472899,281,21:53,7
18:44,2020-09-08,533400,179,21:43,10
20:32,2020-01-19,497797,260,20:55,12
20:10,2022-03-29,507359,222,21:54,4
09:17,2021-01-23,599116,108,19:16,8
16:36,2023-01-12,405596,36,17:53,13
13:10,2020-09-29,539905,53,14:05,6
15:10,2022-02-05,592173,200,17:42,14
19:19,2022-12-14,577249,127,21:39,6
12:56,2020-02-04,404801,209,16:06,8
09:45,2021-06-27,506583,125,16:17,8
21:54,2020-01-17,527754,263,21:59,5
09:03,2020-12-20,596226,89,12:46,2
10:18,2021-02-17,477877,294,11:11,2
18:00,2022-09-29,516110,76,18:59,1
15:52,2022-07-11,549262,63,16:29,15
18:04,2021-04-08,579706,222,18:52,4
17:57,2022-08-14,547216,47,18:28,10
15:58,2020-01-26,518897,274,18:15,15
13:45,2022-09-08,530724,121,15:55,6
09:55,2020-04-30,544313,42,14:52,13
20:47,2022-03-19,592236,288,21:31,4
16:51,2022-07-24,491656,15,18:29,3
18:54,2020-06-30,491798,68,20:16,8
10:02,2022-07-14,593720,232,12:02,3
15:30,2021-02-17,573073,215,21:04,9
14:56,2021-10-16,478676,214,18:08,14
11:41,2022-03-29,423632,74,19:42,13
17:33,2021-05-20,584265,41,18:40,14
09:18,2021-02-27,541339,188,21:41,11
14:57,2022-02-07,490700,170,20:46,3
11:39,2021-02-23,529084,278,14:10,12
20:52,2021-04-24,444828,200,20:53,1
18:15,2020-01-28,503670,253,18:36,5
17:42,2020-08-25,580385,159,21:41,10
20:45,2020-02-09,468479,60,21:10,5
15:19,2023-02-01,418857,296,20:02,15
10:36,2020-03-24,422853,41,20:24,15
17:08,2021-01-05,405018,281,21:00,15
19:24,2022-12-12,476071,239,19:33,13
11:43,2021-12-26,461835,6,12:25,11
15:23,2021-10-02,418551,41,21:41,6
16:50,2021-03-22,450323,37,20:39,2
12:20,2020-06-23,413050,268,17:43,6
14:24,2020-06-25,557501,191,14:32,6
12:34,2021-06-27,514558,277,14:00,11
09:58,2020-10-22,410713,266,15:52,5
18:45,2021-08-29,481365,45,19:37,9
16:13,2020-05-13,597714,111,21:55,8
11:09,2022-10-23,533730,184,14:36,9
19:23,2020-11-21,552706,161,21:10,3
16:56,2023-01-17,483127,119,21:48,4
16:21,2022-04-12,461087,73,19:02,5
18:45,2020-10-17,432282,245,19:06,10
18:41,2022-01-25,544541,279,18:49,5
15:35,2022-02-01,437047,200,17:44,3
16:53,2020-10-01,457112,264,20:45,7
12:47,2023-01-05,435573,292,16:25,11
11:37,2020-05-02,422189,173,19:37,3
09:54,2021-08-24,575379,16,11:45,15
10:24,2020-07-03,500482,25,13:59,6
15:18,2022-04-07,467987,199,19:27,4
15:15,2020-08-08,552371,72,17:40,4
21:13,2021-11-20,503320,122,21:44,12
15:35,2022-10-30,550620,186,19:29,7
15:58,2022-05-09,476592,110,16:51,3
20:21,2020-03-21,415569,153,20:51,6
13:32,2020-08-30,403879,184,21:32,10
11:24,2022-05-25,484376,177,17:21,8
10:18,2021-08-07,555697,115,20:02,11
19:32,2020-09-18,565769,297,20:49,12
21:21,2020-11-24,550869,87,21:22,8
09:57,2020-02-20,561305,299,12:59,7
18:52,2020-03-03,556593,93,18:56,11
10:08,2021-04-25,437060,24,20:06,15
20:43,2021-09-13,478166,219,21:12,6
14:19,2021-11-15,503659,62,15:51,8
10:51,2021-12-30,544089,193,20:50,14
21:38,2022-04-03,482373,195,21:57,8
11:56,2021-02-19,558968,216,18:26,1
10:15,2020-03-17,577871,210,10:22,3
15:14,2020-03-15,410880,184,15:34,15
11:01,2021-03-23,572305,28,12:35,15
13:23,2020-12-20,537920,46,19:44,4
21:16,2021-07-15,593216,174,21:37,10
21:42,2020-11-03,584139,84,21:46,4
10:41,2022-11-14,414287,77,19:11,4
14:48,2022-10-19,429535,9,19:45,14
11:48,2022-03-08,589041,198,19:08,7
09:21,2022-08-03,542830,123,15:23,15
14:02,2021-02-23,417327,187,15:23,3
14:49,2021-11-01,501501,36,18:51,9
11:01,2021-06-17,575295,269,15:54,1
09:16,2021-11-30,511758,260,17:37,4
16:37,2020-10-12,493944,232,19:55,1
17:45,2022-11-14,402366,280,21:28,3
21:23,2022-05-17,585534,102,21:51,6
19:31,2020-09-05,445909,108,21:39,12
18:55,2022-03-20,594492,222,21:52,8
14:54,2022-11-25,448914,167,18:14,4
16:57,2020-03-05,414510,66,18:30,7
17:44,2020-10-09,559222,12,21:31,2
11:29,2020-05-14,406774,300,19:21,8
19:19,2022-07-12,594497,237,19:24,6
15:10,2020-01-20,505233,199,19:33,3
10:02,2022-08-21,509884,234,12:53,8
19:37,2022-05-27,463155,300,21:20,15
19:25,2021-12-28,563196,252,21:49,13
12:50,2022-01-13,548757,7,19:13,1
15:37,2021-07-06,440089,127,21:37,9
10:56,2020-01-15,499613,94,15:13,8
10:06,2020-06-04,476295,161,15:20,4
20:24,2021-09-14,498371,141,21:19,6
19:59,2020-04-16,495205,249,21:05,11
13:14,2020-03-08,491528,281,20:46,14
13:29,2022-11-27,488072,254,16:12,4
20:32,2021-09-15,563704,210,20:46,15
20:17,2021-12-02,489073,259,21:47,10
14:35,2022-12-15,476449,182,17:33,12
20:32,2021-12-01,421777,124,21:08,11
18:54,2022-03-19,528638,292,21:55,11
10:03,2021-02-11,519254,261,15:46,7
14:14,2021-05-24,517505,6,16:17,7
19:11,2020-01-09,523770,229,19:27,8
21:36,2023-01-10,578602,234,21:54,10
16:03,2020-08-20,417002,63,20:55,3
15:41,2022-07-10,570646,219,16:37,4
14:27,2022-01-02,527597,79,20:32,1
21:02,2020-04-09,469937,243,21:42,3
11:56,2021-09-14,574559,216,16:21,3
20:43,2021-11-30,512927,283,21:31,6
11:57,2021-11-27,483878,180,16:19,12
19:17,2022-05-23,433394,250,19:52,7
09:22,2020-05-02,442007,28,15:59,3
14:38,2020-07-22,551066,157,20:16,2
13:56,2020-06-07,544744,2,15:52,3
09:12,2020-01-01,457445,84,19:29,15
16:39,2023-01-07,429830,231,17:17,6
